runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0001,89,95,88,88,317895,16,0.000219711,0.00780268,0.13309,0,60.1818,36458028,89460680,5610,4904072,0.000243595,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0002,89,95,88,88,316984,16,0.000234939,0.00794393,0.150989,0,60.1627,36351002,89198988,5517,4889393,0.000243384,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,317330,16,0.000240359,0.00774256,0.146771,0,60.1509,36384817,89294261,5423,4894472,0.000254395,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,313448,16,0.000224098,0.00779896,0.134162,0,60.0994,35945700,88202506,5442,4835145,0.000227465,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,319753,16,0.000220161,0.00758968,0.150112,0,60.2936,36668977,89981724,5455,4932434,0.000246751,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,325099,16,0.000222806,0.00781351,0.136657,0,60.1787,37277377,91477704,5698,5014807,0.000240799,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,318560,16,0.000234909,0.00802369,0.137846,0,60.2804,36530713,89637041,5610,4913723,0.000243675,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,317990,16,0.00022986,0.0119911,0.136352,0,60.5756,36463508,89476130,5642,4904927,0.000248044,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,319717,16,0.000232885,0.0077602,0.137266,0,60.0532,36667446,89971455,5501,4931441,0.000240098,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,324916,16,0.000260237,0.0158257,0.143482,0,60.2458,37260369,91428584,5755,5011808,0.000248795,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0002,89,95,88,88,322258,16,0.000229038,0.00778067,0.141958,0,60.7921,36955736,90686942,5587,4970806,0.00024642,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,311811,16,0.000222425,0.00780154,0.136079,0,60.648,35763909,87760814,5281,4810405,0.000242613,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,312749,16,0.000226363,0.00784046,0.147677,0,60.0262,35858342,87983534,5586,4823767,0.000247502,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,320624,16,0.000226774,0.0114782,0.138378,0,60.1757,36770279,90224626,5649,4945917,0.000255607,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,320641,16,0.000225982,0.00781409,0.140254,0,60.0793,36769467,90230415,5498,4945406,0.000245919,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,320165,16,0.000222696,0.00735203,0.144587,0,60.6467,36712928,90092990,5633,4938747,0.000236763,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0002,89,95,88,88,318582,16,0.000229679,0.00773893,0.135618,0,60.5889,36523536,89629049,5579,4914254,0.000254997,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,311597,16,0.00022522,0.0073187,0.139778,0,60.3533,35729432,87673957,5424,4806509,0.000236161,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0002,89,95,88,88,318531,16,0.000223988,0.00732693,0.131485,0,60.0959,36522996,89632348,5588,4913766,0.000230079,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,320723,16,0.000220962,0.00770424,0.136451,0,60.1955,36776078,90238193,5694,4947189,0.000240719,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0002,89,95,88,88,312740,16,0.000222656,0.00728801,0.135669,0,60.1991,35864164,88006209,5551,4823977,0.000207789,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,319783,16,0.000218047,0.00759552,0.133437,0,60.2226,36661871,89970927,5567,4932155,0.000237604,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0002,89,95,88,88,316441,16,0.000221384,0.00766663,0.137643,0,60.5757,36284279,89040664,5593,4880669,0.00024112,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,322241,16,0.000220051,0.00747656,0.135657,0,60.3046,36953171,90689026,5515,4970981,0.000241902,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,319009,16,0.000220481,0.00763728,0.134637,0,60.3451,36578194,89769743,5522,4920565,0.000239647,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,326738,16,0.000211735,0.0114578,0.136926,0,60.0571,37465874,91950211,5668,5040268,0.000237784,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60.0001,89,95,88,88,315907,16,0.000251169,0.00760199,0.150164,0,60.025,36221628,88884981,5537,4872442,0.000238205,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,316095,16,0.00023056,0.00721711,0.147043,0,60.0046,36244848,88950079,5411,4876054,0.000239496,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,317316,16,0.000227144,0.0077006,0.136436,0,60.1063,36382642,89284420,5446,4894153,0.000239617,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,319945,16,0.000225381,0.00769738,0.137263,0,60.0946,36683560,90019608,5642,4935104,0.00024684,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
60,89,95,88,88,302850,16,0.00023043,0.00770728,0.151183,0,60.2103,34729824,85217096,5422,4671351,0.000245649,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-10.scen
