runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.935841,0,25798,3,25847,20790,3,-1,0.447269,1.27497,23418307,32941415,2812305,72008,0.32271,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.136663,0,25494,4,25548,20790,3,-1,0.121309,0.0395024,23175319,32307673,3006867,77570,0.320244,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.151535,0,25494,4,25548,20790,3,-1,0.135323,0.0418546,22914284,32502603,2467796,74159,0.32723,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.128497,0,25494,4,25548,20790,3,-1,0.11269,0.0404489,22330136,32652547,2163664,80898,0.331246,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.13057,0,25494,4,25548,20790,3,-1,0.11523,0.0394239,22450473,32411917,2114637,73919,0.333322,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.123203,0,25494,4,25548,20790,3,-1,0.107953,0.0393533,22573689,32363984,2154799,75512,0.319505,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.124498,0,25494,4,25548,20790,3,-1,0.109053,0.039792,22797228,33338481,1519417,74920,0.326674,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.922998,0,25798,3,25847,20790,3,-1,0.437422,1.26969,22825235,31871108,2657742,70468,0.328317,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.141661,0,25494,4,25548,20790,3,-1,0.126437,0.0392735,22858649,32627134,2689734,83233,0.32262,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.138413,0,25494,4,25548,20790,3,-1,0.122999,0.0396738,22413825,32473962,1943136,74968,0.329268,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
