runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.287471,0,24144,1,24131,19544,2,-1,0.159626,0.127845,23257412,33267802,1789087,92643,0.319748,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.457253,0,23381,1,23372,19544,4,-1,0.337189,0.120064,22769509,31160337,2171000,81185,0.328155,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.449586,0,23381,1,23372,19544,4,-1,0.329755,0.119831,22539296,31961241,2163996,94272,0.321481,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.434128,0,23381,1,23372,19544,4,-1,0.326415,0.107714,23763852,30661008,3976912,76286,0.317957,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.338423,0,24144,1,24131,19544,2,-1,0.188937,0.149486,22622165,32280694,1958519,87806,0.32989,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.356418,0,24144,1,24131,19544,2,-1,0.193887,0.16253,21991725,32050994,1479360,94191,0.325683,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.434408,0,23381,1,23372,19544,4,-1,0.319989,0.114419,23513844,33552316,1806519,83633,0.326522,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.454669,0,23381,1,23372,19544,4,-1,0.329082,0.125588,23540872,32264742,2599708,85319,0.333396,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.446426,0,23381,1,23372,19544,4,-1,0.335488,0.110938,22930800,32274629,2099309,86177,0.321859,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.446818,0,23381,1,23372,19544,4,-1,0.316674,0.130144,23350530,31858258,2685872,88443,0.328428,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.444276,0,23381,1,23372,19544,4,-1,0.327725,0.116551,22662932,32328684,1906179,92317,0.329494,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.447593,0,23381,1,23372,19544,4,-1,0.330237,0.117356,23038347,32281155,2339585,87476,0.330582,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
0.439077,0,23381,1,23372,19544,4,-1,0.321653,0.117423,22819979,31866136,2248912,88006,0.330369,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-18.scen
