runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.111131,0,28838,1,28840,23976,3,-1,0.057163,0.0539676,22663337,30032741,3555454,65290,0.390193,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.108574,0,28838,1,28840,23976,3,-1,0.0560457,0.0525281,23508957,29536435,4315357,62662,0.425929,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.123231,0,28838,1,28840,23976,3,-1,0.0619553,0.0612761,22672340,27291926,5325145,60508,0.389951,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.113384,0,28838,1,28840,23976,3,-1,0.0602934,0.0530901,24572160,28272364,6489985,62008,0.388609,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.110618,0,28838,1,28840,23976,3,-1,0.0575205,0.053097,24214681,29448611,5273508,62483,0.387508,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.112581,0,28838,1,28840,23976,3,-1,0.0581845,0.0543968,24710879,29809516,5521080,65988,0.378895,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.111195,0,28838,1,28840,23976,3,-1,0.0575796,0.0536152,24164281,29825556,4864037,65725,0.394334,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.109281,0,28838,1,28840,23976,3,-1,0.0555638,0.0537175,24411928,28839381,5861911,58102,0.389687,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.110473,0,28838,1,28840,23976,3,-1,0.0585581,0.0519152,23512614,30535523,3867003,63060,0.39306,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
0.114764,0,28838,1,28840,23976,3,-1,0.0622782,0.0524856,24270409,30058245,4942729,62105,0.396272,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-9.scen
