runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
1.22387,0,30658,5,30673,23655,8,-1,0.775879,0.646536,23382138,29638284,4306055,55284,0.403593,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
0.53098,0,29746,1,29738,23655,4,-1,0.181894,0.349087,24514944,28336514,5919958,57077,0.390116,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.43,0,30658,5,30673,23655,8,-1,0.905101,0.887154,22895505,29421890,3780511,56068,0.415531,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.31054,0,30658,5,30673,23655,8,-1,0.831621,0.709474,23033850,29179046,4136406,56720,0.396367,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.24056,0,30658,5,30673,23655,8,-1,0.778645,0.67166,23487396,28657302,4768273,51447,0.398467,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.27132,0,30658,5,30673,23655,8,-1,0.826942,0.655412,23875834,29152644,4824772,53192,0.420516,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
0.535782,0,29746,1,29738,23655,4,-1,0.183463,0.352319,24304194,27591212,6196554,54165,0.394793,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.31269,0,30658,5,30673,23655,8,-1,0.836453,0.699169,22763519,29336542,3943032,57258,0.387683,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.21769,0,30658,5,30673,23655,8,-1,0.774594,0.64509,24150526,28620842,5216976,50713,0.393778,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
1.20722,0,30658,5,30673,23655,8,-1,0.772625,0.64625,23477005,29367974,4324774,52162,0.397604,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-21.scen
