runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60,123,144,107,107,395396,12.0234,0.00034683,0.0160432,0.130671,0,960.191,37009202,71162045,113960,4214014,0.000324918,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0001,123,144,107,107,417444,12.095,0.000457015,0.0167437,0.128545,0,960.124,38607802,74824274,115649,4495977,0.000332813,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0001,123,144,107,107,419448,12.0166,0.000297137,0.013809,0.119444,0,960.358,38225237,74282724,146800,4405370,0.000324076,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0001,123,144,107,107,421053,12.1029,0.000325048,0.0175899,0.136976,0,960.122,38251731,74100935,122321,4526204,0.000350647,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0001,123,144,107,107,418724,11.8017,0.000319248,0.0167917,0.136622,0,960.068,38652102,73617489,148853,4391164,0.000347291,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60,123,144,107,107,417190,12.0036,0.000323445,0.0168778,0.13413,0,960.157,38274533,74730654,121884,4481471,0.000371746,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0002,123,144,107,107,422735,11.9345,0.000319318,0.0162962,0.130976,0,960.245,38793406,75354547,155423,4436550,0.000337783,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60,123,144,107,107,426172,11.9717,0.000329808,0.0171945,0.132441,0,960.827,38744156,75580621,131049,4461811,0.000349575,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0001,123,144,107,107,414065,12.1016,0.000327433,0.0175733,0.13254,0,960.811,39311666,76058311,121674,4461557,0.000353823,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
60.0002,123,144,107,107,433146,12.0459,0.000312765,0.0172446,0.136295,0,960.187,38786341,75425225,111896,4632875,0.000361126,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-14.scen
