runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60,116,129,107,107,425555,11.921,0.000287685,0.0122214,0.136366,0,540.391,35954766,77091080,66681,4640081,0.000352957,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,431835,12.0173,0.000296462,0.0121097,0.13776,0,540.101,36775508,77809690,92057,4724632,0.000347797,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,414200,11.8874,0.000287275,0.0120084,0.13761,0,540.124,34565886,74266861,61853,4507526,0.000359208,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,433625,12.0102,0.000292625,0.0112572,0.137793,0,540.338,36622555,77381476,89146,4738780,0.000320627,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,419522,11.9659,0.000292615,0.0120128,0.138392,0,540.231,35171705,74738514,67897,4579955,0.000365861,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,416309,12.1402,0.000292915,0.0119516,0.135782,0,540.838,36125180,76756043,101556,4599447,0.000345614,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,442445,11.8483,0.000292485,0.0115987,0.143758,0,540.325,36681065,78131253,78858,4779121,0.000353258,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,441349,11.8603,0.000283999,0.0117825,0.137014,0,540.403,36824926,79351425,100831,4789560,0.000353367,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,427972,12.1044,0.000285512,0.0117014,0.132738,0,540.071,36834509,78091086,86665,4706716,0.000345283,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,437602,12.0071,0.000289289,0.013451,0.133416,0,540.246,37207923,79352378,99827,4802565,0.000346445,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,417582,11.8777,0.000293657,0.0121634,0.134577,0,541.595,34837712,74895430,60276,4545092,0.000346164,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,414100,12.0259,0.000285662,0.0114202,0.139961,0,540.043,35376243,75659387,76708,4547742,0.000336877,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,442270,11.9736,0.000286033,0.0118612,0.134381,0,540.092,37085123,79543852,66964,4840842,0.000342768,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,426390,11.8725,0.000299688,0.0118537,0.139908,0,541.188,35647935,76821535,98788,4630666,0.000345554,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,441482,11.8838,0.000312132,0.0162604,0.13078,0,540.356,37001707,78679791,90496,4792368,0.000352416,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,444979,11.8615,0.000293556,0.0136366,0.141363,0,540.266,36863308,78981886,75417,4814322,0.000346745,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,417250,11.9164,0.000299367,0.0241334,0.139448,0,540.085,35155859,75550078,67564,4547404,0.000358297,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,415976,11.9078,0.000286554,0.0119726,0.135181,0,540.073,34891225,75068113,62703,4537799,0.000355442,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,438679,11.8857,0.000285001,0.0118063,0.134429,0,540.022,36587214,77542029,88946,4749277,0.000345453,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,417928,11.958,0.000289709,0.0160296,0.136985,0,540.017,35154857,75078616,58244,4563393,0.000346335,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,429064,12.1057,0.000286864,0.0117139,0.134959,0,540.575,37012845,78236478,82009,4723807,0.000336937,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,436812,11.8216,0.000326909,0.0121195,0.137623,0,540.096,36486467,78369856,97721,4721891,0.000360651,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,436296,11.9635,0.000292995,0.0169156,0.140045,0,540.051,36665724,78402191,73898,4768623,0.000325065,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,450974,11.8191,0.000288748,0.0118365,0.139351,0,540.455,37366899,79349763,78166,4867014,0.000348198,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,443376,11.9651,0.000295578,0.0113819,0.143652,0,540.13,37538458,80149120,68997,4849352,0.00033352,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,434865,12.0565,0.000294126,0.0113455,0.153225,0,543.782,36857089,78650847,71446,4771796,0.000334471,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0002,116,129,107,107,433371,11.9981,0.000297222,0.0116963,0.148528,0,542.225,36771396,79164051,79294,4762134,0.000345041,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,437297,11.9761,0.000288797,0.0113389,0.140426,0,540.36,36996731,78674586,67692,4776093,0.000337607,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,439968,11.7872,0.000320646,0.0112603,0.143263,0,540.105,36706606,78186588,88823,4723691,0.000326658,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,451737,11.8552,0.000292544,0.0113714,0.139458,0,540.308,37704382,80097353,66423,4889049,0.000345192,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60,116,129,107,107,454474,11.7985,0.000283707,0.0149992,0.136131,0,540.057,37862560,80831868,89037,4883293,0.000332208,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
60.0001,116,129,107,107,439001,11.985,0.000278227,0.0110923,0.129813,0,541.415,37053947,79474120,63146,4808302,0.000331807,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-3.scen
