runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0001,123,129,116,116,386247,12.0055,0.000659208,0.0210401,0.13627,0,420.563,36351709,73173832,53191,4160436,0.000347177,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60,123,129,116,116,403510,12.0367,0.000675848,0.0224748,0.138001,0,421.591,38242720,76417346,70431,4331028,0.000353478,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60.0001,123,129,116,116,403704,12.0518,0.000680988,0.0224467,0.133636,0,420.032,38365087,76822140,61890,4364855,0.000349059,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60.0002,123,129,116,116,392223,11.9413,0.000671089,0.0221252,0.140482,0,420.027,36945237,74055423,56084,4193138,0.000348038,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60.0001,123,129,116,116,384965,12.0595,0.000658536,0.022237,0.138761,0,420.05,36585942,73094414,54575,4142050,0.000350423,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60,123,129,116,116,400913,12.0572,0.000680056,0.0222519,0.133784,0,420.015,37925931,75686337,59991,4316981,0.000348449,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60,123,129,116,116,414915,11.9675,0.000652264,0.0217005,0.13678,0,420.018,39318699,78030306,61223,4425288,0.000330285,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60.0001,123,129,116,116,402844,12.0511,0.000662413,0.0343077,0.132979,0,420.07,38182419,76562044,60177,4335060,0.000342798,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60.0001,123,129,116,116,402510,12.0582,0.000679445,0.0221366,0.138589,0,420.316,38263298,76897601,60121,4347721,0.000351314,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
60.0001,123,129,116,116,404261,11.9942,0.000668995,0.021819,0.133232,0,420.136,38341928,76270122,59957,4325048,0.000351895,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-1.scen
