runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0035,3791,4561,3369,3369,20428,14.0073,0.0538591,1.91221,0.0838165,0,26634.3,29500242,45404265,2442915,268870,0.0275263,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0012,3761,4561,3369,3369,19916,15.2575,0.0538534,1.90025,0.0848409,0,25193.7,29554897,45787689,1896638,288170,0.0275247,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60,3756,4561,3369,3369,24606,13.8288,0.0532523,1.9104,0.0873913,0,25143.9,34074673,52449514,2052377,320697,0.0274498,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0011,3776,4561,3369,3369,20348,14.8645,0.0550466,1.91249,0.0896466,0,26729.3,31693847,48940260,1729768,283755,0.0277813,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0014,3761,4561,3369,3369,21705,15.5158,0.0540134,1.9376,0.0866854,0,27316,36981858,54951439,2553299,314391,0.0276095,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0012,3779,4561,3369,3369,21305,13.4181,0.0392149,2.03038,0.0627432,0,26893.6,29042791,44462806,1555795,265564,0.0275379,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0036,3769,4561,3369,3369,18740,15.3981,0.0562956,1.99538,0.087926,0,26035.6,28516883,43688452,1804800,269077,0.0277241,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0053,3788,4561,3369,3369,20800,14.3299,0.0548338,1.95978,0.0872748,0,26585.1,28602753,44893493,1450672,279807,0.0279447,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0007,3755,4561,3369,3369,17821,14.9255,0.0551939,1.93947,0.0877179,0,25412.1,28698280,43904875,1430118,247811,0.0278424,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60,3742,4561,3369,3369,19773,14.8843,0.05514,1.94986,0.0840718,0,23960.5,29057539,44659414,1365898,273578,0.0276156,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0008,3750,4561,3369,3369,19951,15.2757,0.0544537,1.93705,0.0874569,0,25252.3,28333777,44655026,2037161,288287,0.0275912,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0027,3804,4561,3369,3369,18913,13.7283,0.0553745,2.01036,0.0906689,0,29028.7,27264410,42471573,1515268,245801,0.0276377,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0013,3738,4561,3369,3369,22416,13.1307,0.0556798,1.99028,0.0876463,0,23516.6,27679310,43917384,1467123,278393,0.0285197,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0007,3760,4561,3369,3369,25343,12.1431,0.0546083,1.94974,0.0841429,0,25298.4,28479204,45430682,1612269,294719,0.0277027,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0027,3780,4561,3369,3369,19236,15.3937,0.0546634,1.93183,0.0845872,0,26557.6,29006342,44933145,1733902,277399,0.0278049,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0045,3757,4561,3369,3369,17552,14.1674,0.0551258,1.94772,0.0876866,0,25024.6,29777344,43143031,2327860,230452,0.0279847,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0024,3773,4561,3369,3369,18417,14.4655,0.0555752,1.93924,0.0873675,0,25354.6,27791932,43995866,1423678,250842,0.0282479,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0002,3760,4561,3369,3369,19748,14.3828,0.0546128,1.93033,0.0869768,0,25042.8,28351460,43543260,1883715,267510,0.0276956,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.001,3793,4561,3369,3369,21232,15.0393,0.0550781,1.95066,0.0847757,0,27115.5,27995232,44971336,1741818,306187,0.0278543,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0004,3762,4561,3369,3369,21499,13.6061,0.0549085,1.94703,0.08488,0,26017.6,29201367,45759718,1544635,274160,0.0279506,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.001,3737,4561,3369,3369,19577,14.1237,0.0505467,1.80686,0.0808046,0,24870.4,28526969,44093383,1333782,260150,0.0256296,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.003,3770,4561,3369,3369,18158,14.5956,0.0554269,1.95676,0.0849449,0,25738,28413272,42961371,2075024,249544,0.0278418,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0029,3768,4561,3369,3369,18897,14.7787,0.0556273,1.96657,0.0881191,0,26008.4,28924514,44343772,1749404,260720,0.0276219,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.002,3729,4561,3369,3369,21269,13.5358,0.0539958,1.96769,0.0871207,0,23909.5,28517519,44471048,1804441,273095,0.0280098,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0027,3735,4561,3369,3369,21242,13.3885,0.0534882,1.89857,0.0846254,0,24075.4,29179184,44528444,1568732,265063,0.0265311,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0015,3775,4561,3369,3369,20492,13.6394,0.055463,1.94637,0.0847784,0,26274.3,28110451,44192876,1296012,261999,0.0280455,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0017,3754,4561,3369,3369,20038,14.7013,0.0550814,1.95951,0.0890155,0,24601.6,28878377,44716963,1881531,275209,0.0279715,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0024,3765,4561,3369,3369,19546,14.7602,0.0605114,1.9474,0.0852786,0,25116.5,28743482,44790068,1927166,273138,0.0279541,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0022,3814,4561,3369,3369,19091,14.6914,0.0546371,1.924,0.0872316,0,28989.3,28161620,44077128,1581128,262017,0.0277538,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0012,3735,4561,3369,3369,20336,14.6688,0.0550007,1.97761,0.0879101,0,24118.7,28124580,44456539,1598620,280401,0.0276759,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0027,3762,4561,3369,3369,18934,13.7219,0.0556601,1.95421,0.0885977,0,25913,28757177,43529241,1459563,242738,0.0277836,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0021,3745,4561,3369,3369,21723,14.4459,0.0549303,1.93798,0.0847898,0,24118,28335387,44646464,1468185,293427,0.0278418,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0032,3741,4561,3369,3369,20495,14.4738,0.0538458,1.91657,0.087534,0,24949.9,28862774,44794940,1537793,277252,0.0274553,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0009,3725,4561,3369,3369,19409,14.6266,0.0542947,1.89893,0.0863159,0,23247.1,29098914,44585150,2093084,266653,0.0276801,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0046,3831,4561,3369,3369,18007,15.5965,0.0548419,1.93232,0.0880626,0,29794.9,29672609,44268097,2686358,262945,0.0279611,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0035,3752,4561,3369,3369,21818,13.6194,0.054607,1.93139,0.0841254,0,24175.9,28770891,44393413,1780559,278513,0.0278852,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0046,3781,4561,3369,3369,21405,13.9573,0.0553917,1.95339,0.0879055,0,26965.9,28715293,44965526,1603523,280310,0.0281143,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0011,3751,4561,3369,3369,22784,14.5422,0.0544765,1.93307,0.0881032,0,25016.9,27808719,45186889,1234831,314803,0.0278647,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0003,3752,4561,3369,3369,20207,14.7461,0.0543616,1.93934,0.0885104,0,24634.7,27603239,43583377,1845895,282692,0.0281169,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0008,3742,4561,3369,3369,22676,14.9526,0.0559788,1.97484,0.0849193,0,25087.7,29664875,46563679,1868847,321002,0.027597,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0014,3790,4561,3369,3369,20215,15.0948,0.0508367,1.79069,0.0851289,0,27278.8,28826013,45637584,1524812,286791,0.0250112,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0012,3735,4561,3369,3369,20081,14.998,0.0541528,1.92389,0.0890459,0,23901.5,28813747,45441631,1519742,283723,0.0277131,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0003,3776,4561,3369,3369,17626,15.242,0.0558626,1.94456,0.0880937,0,27578.8,28890163,43293695,1964243,246399,0.0280118,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0016,3771,4561,3369,3369,19284,14.6315,0.0552198,1.95179,0.0892232,0,26615.2,29478533,44766531,1490938,261142,0.0277166,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0035,3744,4561,3369,3369,19809,14.9972,0.0544574,1.91887,0.0877497,0,24648.7,27867766,42515863,1651033,277590,0.0278327,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.002,3809,4561,3369,3369,19228,14.2797,0.0565241,1.99318,0.0847005,0,28484.3,29020734,44300205,1706540,257040,0.0278758,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0021,3749,4561,3369,3369,20134,14.2037,0.0541067,1.92008,0.0883115,0,25209.2,28651251,44235483,1340928,269427,0.0276698,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0013,3754,4561,3369,3369,23543,14.0443,0.060801,1.95396,0.0908696,0,25530.2,26811933,44511424,1197594,315124,0.027808,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0008,3746,4561,3369,3369,20281,15.243,0.055781,1.98641,0.0879394,0,24618.3,28628061,45882996,1642042,293661,0.0277105,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0009,3752,4561,3369,3369,18608,15.2646,0.0542415,1.92045,0.0849181,0,24507.3,29338769,44574433,1987302,266065,0.0278169,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0022,3735,4561,3369,3369,21550,14.1149,0.0539533,1.91115,0.0839241,0,23015.6,27138818,44310675,1355186,287230,0.0277328,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0021,3796,4561,3369,3369,19947,14.2911,0.0555226,1.97832,0.0881679,0,26957.6,28664991,43772870,2074577,271075,0.0279767,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0011,3792,4561,3369,3369,21105,14.3137,0.0542652,1.93713,0.0842806,0,26692,27928057,45522524,1253286,284784,0.027814,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0008,3748,4561,3369,3369,21268,14.9926,0.0541046,1.91443,0.0885317,0,25567.6,28961830,46155353,1628370,301056,0.0276837,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0014,3758,4561,3369,3369,19757,14.3005,0.0546587,1.91862,0.0866196,0,25762.3,28938133,44573188,2055911,267585,0.0278874,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0026,3779,4561,3369,3369,19459,15.1507,0.054524,1.92718,0.08809,0,26694.8,28228131,44558258,1430948,278056,0.0277181,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0006,3789,4561,3369,3369,20188,15.6108,0.0547732,1.92557,0.0860941,0,26574.2,28753288,45581291,1434740,298426,0.0278012,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0017,3780,4561,3369,3369,20788,13.4904,0.0544716,1.92072,0.0870895,0,27447.4,29247921,43838831,2218042,262977,0.0280015,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0037,3766,4561,3369,3369,18250,15.7455,0.0555868,1.95427,0.0847867,0,25758.1,28922684,44525865,1919408,267740,0.0279741,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0013,3770,4561,3369,3369,21322,14.0795,0.0578506,1.92996,0.0874221,0,25176.1,28585900,45178462,1613992,282416,0.0278174,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
60.0025,3757,4561,3369,3369,18446,14.8594,0.0553306,1.94626,0.0855979,0,25209.8,29133201,43815544,2039784,255764,0.0281196,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-23.scen
