runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.00811913,0,2679,1,2678,2053,3,-1,0.00157926,0.00653987,28886277,57443117,686580,580451,0.0192293,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00797194,0,2679,1,2678,2053,3,-1,0.00164216,0.00632978,29285851,57669666,752853,535871,0.0192153,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00819755,0,2679,1,2678,2053,3,-1,0.00162619,0.00657136,29087646,56903788,744497,539295,0.0190846,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00798133,0,2679,1,2678,2053,3,-1,0.00168177,0.00629956,28531773,57144543,761917,589165,0.0189903,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00802348,0,2679,1,2678,2053,3,-1,0.00174322,0.00628027,29138193,57117928,680470,530624,0.018913,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00793681,0,2679,1,2678,2053,3,-1,0.00164998,0.00628683,28833971,56628856,758030,528687,0.0191254,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00791307,0,2679,1,2678,2053,3,-1,0.00171212,0.00620095,29060930,57726681,961553,566647,0.0189764,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00793852,0,2679,1,2678,2053,3,-1,0.00174748,0.00619103,29248805,57319983,792680,545062,0.0190277,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00768354,0,2679,1,2678,2053,3,-1,0.00162309,0.00606045,29438990,57727173,748626,548144,0.0187964,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00793309,0,2679,1,2678,2053,3,-1,0.00163057,0.00630252,29456215,57815750,775010,548125,0.0190748,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00780933,0,2679,1,2678,2053,3,-1,0.00164775,0.00616159,29072071,57272120,588044,541979,0.0190223,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00797453,0,2679,1,2678,2053,3,-1,0.00167372,0.00630082,29478330,58011711,767431,565870,0.0190347,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00802255,0,2679,1,2678,2053,3,-1,0.00171928,0.00630327,29169709,57348477,750250,537364,0.0189117,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00783374,0,2679,1,2678,2053,3,-1,0.00162668,0.00620706,29104389,57028538,961134,546651,0.0190195,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00798851,0,2679,1,2678,2053,3,-1,0.00171678,0.00627173,29218185,57648542,792073,570983,0.0189397,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00842658,0,2679,1,2678,2053,3,-1,0.00215492,0.00627165,29415413,57635476,882103,575389,0.0190394,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00791651,0,2679,1,2678,2053,3,-1,0.00168044,0.00623607,29329564,56943303,723109,511667,0.0189001,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.0079434,0,2679,1,2678,2053,3,-1,0.00171206,0.00623135,29560966,57652349,841835,559856,0.0190057,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00780125,0,2679,1,2678,2053,3,-1,0.00158508,0.00621617,29361071,57077127,774940,535082,0.0188618,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00784791,0,2679,1,2678,2053,3,-1,0.00191923,0.00592867,30580624,59878859,821701,558092,0.0190161,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00717117,0,2679,1,2678,2053,3,-1,0.00158716,0.00558402,29752840,56874856,1202872,527846,0.0165565,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00818224,0,2679,1,2678,2053,3,-1,0.00196758,0.00621466,29236749,57440096,672353,530996,0.0191046,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00794969,0,2679,1,2678,2053,3,-1,0.00170153,0.00624816,29126068,57162909,713473,539510,0.0188291,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
0.00794312,0,2679,1,2678,2053,3,-1,0.00165796,0.00628517,29393169,57752896,720516,524544,0.0189906,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/random-32-32-20-random-24.scen
