runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.121201,0,18767,1,18875,16424,2,-1,0.103772,0.017429,25299755,35464033,2658403,93454,0.254669,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.20286,0,18767,1,18875,16424,2,-1,0.184692,0.0181678,22091242,30696256,2265994,74784,0.269485,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.133356,0,18767,1,18875,16424,2,-1,0.115286,0.0180701,24050196,33667777,2756844,94101,0.269774,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.128464,0,18767,1,18875,16424,2,-1,0.110136,0.0183276,23397286,34140273,1784222,88556,0.266541,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.160721,0,18767,1,18875,16424,2,-1,0.141229,0.0194918,24407278,33186210,3046954,84895,0.264608,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.121769,0,18767,1,18875,16424,2,-1,0.104011,0.0177577,23916748,33605189,2352260,83740,0.268723,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.11255,0,18767,1,18875,16424,2,-1,0.0943007,0.0182498,23908578,33192100,2524459,90279,0.267603,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.121187,0,18767,1,18875,16424,2,-1,0.103942,0.0172452,23903507,33595295,2415269,86241,0.264857,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.139996,0,18767,1,18875,16424,2,-1,0.122299,0.0176967,23895420,33284610,2326469,89268,0.271907,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
0.164817,0,18767,1,18875,16424,2,-1,0.144307,0.0205097,22967792,32751334,2004218,83192,0.271929,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/warehouse-10-20-10-2-1-random-23.scen
