runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60,178,273,154,154,381198,13.133,0.00244244,0.0950439,0.118241,0,1448.67,39583585,67887949,188678,3760409,0.000410138,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,178,273,154,154,389024,12.7073,0.00294489,0.102421,0.133815,0,1448.53,38789570,67361667,179336,3793234,0.000470842,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,179,273,154,154,383948,12.77,0.00293791,0.107035,0.127929,0,1513.53,39545883,67079732,228781,3681443,0.000466033,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,180,273,154,154,398916,12.6421,0.00278673,0.1076,0.134548,0,1562.67,39012154,68059291,191779,3811845,0.000465532,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,179,273,154,154,379464,13.4257,0.00283774,0.109567,0.130991,0,1554.02,40541497,69150372,246545,3901369,0.000455723,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,178,273,154,154,397441,13.0671,0.00287313,0.102587,0.126526,0,1452.56,39181024,67407285,200055,3798155,0.000418784,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,182,273,154,154,371518,12.7658,0.00308443,0.114283,0.132113,0,1683.87,40395350,67417040,293420,3583483,0.000478456,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,180,273,154,154,406979,12.5411,0.00297051,0.111048,0.134662,0,1567.91,38943561,67710923,167362,3846171,0.00045963,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,178,273,154,154,386268,12.9938,0.00330785,0.112751,0.138562,0,1457.52,39053122,68581102,175559,3831893,0.000445274,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,181,273,154,154,378289,13.1575,0.00280231,0.110656,0.136351,0,1627.23,38804099,66414185,211065,3607354,0.00045893,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,180,273,154,154,365827,13.1955,0.00275512,0.109897,0.136493,0,1648.17,39905530,67618751,287928,3701656,0.000458358,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,178,273,154,154,376885,13.8665,0.00279281,0.111423,0.137065,0,1627.72,40342430,68988632,252229,3876791,0.000484067,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,178,273,154,154,385330,12.9663,0.00268895,0.109784,0.109419,0,1459.18,39161172,68453322,172030,3816616,0.000451075,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,180,273,154,154,386444,12.4783,0.00276006,0.113816,0.138138,0,1583.4,39554582,67218682,235662,3671642,0.00044865,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0002,184,273,154,154,368565,13.1908,0.00274882,0.10842,0.139349,0,1846.95,40075613,68250355,314490,3718113,0.000461254,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,180,273,154,154,380202,12.3786,0.00270161,0.108936,0.13374,0,1603.47,40229117,67991625,281190,3659200,0.000460653,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,178,273,154,154,398300,12.8,0.00280633,0.113353,0.133229,0,1482.11,39177573,67933923,175933,3839234,0.000452098,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,178,273,154,154,380642,13.0904,0.00277288,0.109094,0.135324,0,1446.35,39805926,67768237,190069,3742062,0.000466013,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0002,180,273,154,154,379593,13.338,0.00274437,0.10925,0.133822,0,1610.71,40082436,69807074,195198,3788056,0.0004432,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60,182,273,154,154,364329,13.2428,0.00270948,0.105489,0.132959,0,1685.16,39362490,67790607,258418,3654508,0.000446827,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0002,178,273,154,154,381895,13.0318,0.0028123,0.10935,0.135547,0,1460.81,39366868,68469629,202485,3812886,0.000458529,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,180,273,154,154,395536,12.6647,0.00289422,0.114805,0.119336,0,1563.44,39397706,68864148,200611,3815809,0.000451356,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,181,273,154,154,414766,12.2881,0.00275125,0.112475,0.133341,0,1629.8,39939713,69226228,205128,3904335,0.00046427,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0002,178,273,154,154,367292,13.0604,0.00273868,0.108848,0.136313,0,1602.3,39877029,68370741,290969,3720651,0.000448961,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,180,273,154,154,367124,13.375,0.0027836,0.109109,0.133557,0,1604.08,39677487,68716686,206743,3753656,0.000460913,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0002,181,273,154,154,373916,12.6041,0.00293916,0.109884,0.135415,0,1623.42,40393614,67770647,275807,3589009,0.000455293,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
60.0001,181,273,154,154,379385,13.2741,0.00279191,0.108964,0.135255,0,1647.01,39183472,68173824,211017,3838926,0.000457537,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-8-8-random-7.scen
