runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.144328,0,10438,8,10392,7335,5,-1,0.112728,0.146268,22130465,38021405,1183643,264463,0.0870365,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.158522,0,10438,8,10392,7335,5,-1,0.122316,0.165809,23104800,38161027,1452564,240082,0.0848429,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.151362,0,10438,8,10392,7335,5,-1,0.118176,0.153404,21843539,37364614,1095676,244091,0.0823967,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.141882,0,10438,8,10392,7335,5,-1,0.110112,0.146893,22116740,36957630,1084640,231749,0.0840671,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.144496,0,10438,8,10392,7335,5,-1,0.112751,0.147011,22696266,38489965,1277435,248454,0.0850481,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.144266,0,10438,8,10392,7335,5,-1,0.112492,0.146539,22151846,38198777,1195883,258634,0.0872984,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145636,0,10438,8,10392,7335,5,-1,0.113735,0.147523,20911846,34982364,1283843,226735,0.0836645,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145382,0,10438,8,10392,7335,5,-1,0.113683,0.146999,21511628,36451356,1191859,236163,0.0836456,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145962,0,10438,8,10392,7335,5,-1,0.113593,0.149229,21341392,36395468,1141739,246894,0.0793689,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147499,0,10438,8,10392,7335,5,-1,0.115912,0.145896,22271062,36947066,1107059,231078,0.0838997,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.138957,0,10438,8,10392,7335,5,-1,0.107704,0.144812,21909301,37571760,1284008,267448,0.0872252,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.152327,0,10438,8,10392,7335,5,-1,0.118726,0.154985,22760311,37925771,1344087,245846,0.0838906,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147048,0,10438,8,10392,7335,5,-1,0.114691,0.149563,22052048,37369037,1124987,234996,0.0836809,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145696,0,10438,8,10392,7335,5,-1,0.113698,0.148006,21858549,37196336,1114525,243847,0.0848623,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.146213,0,10438,8,10392,7335,5,-1,0.114084,0.148768,22832786,38277690,1302825,248966,0.0840184,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145461,0,10438,8,10392,7335,5,-1,0.113992,0.145557,22721130,38612120,1316958,261031,0.0835721,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.150185,0,10438,8,10392,7335,5,-1,0.116828,0.154408,22886131,38264473,1164587,245511,0.0845003,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147938,0,10438,8,10392,7335,5,-1,0.116537,0.143675,22697415,37487006,1321970,239184,0.0838542,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.144097,0,10438,8,10392,7335,5,-1,0.112396,0.14651,22738208,37941946,1218972,245416,0.0840966,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.149113,0,10438,8,10392,7335,5,-1,0.117002,0.148653,21621157,37456808,1149118,253339,0.0835526,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.154091,0,10438,8,10392,7335,5,-1,0.119501,0.158768,22835725,38718782,1204865,250305,0.0836293,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145161,0,10438,8,10392,7335,5,-1,0.113214,0.147457,22308403,37200725,1331450,236263,0.0864675,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145987,0,10438,8,10392,7335,5,-1,0.113323,0.152214,21596237,36814184,1211503,244065,0.0836272,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.148787,0,10438,8,10392,7335,5,-1,0.11724,0.145536,21732159,38073608,1094776,264881,0.0858011,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.149503,0,10438,8,10392,7335,5,-1,0.116637,0.151992,22142548,36975765,1076938,240784,0.0831055,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145635,0,10438,8,10392,7335,5,-1,0.113805,0.147238,23041296,37898894,1263780,244658,0.0837731,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.126594,0,10438,8,10392,7335,5,-1,0.0937149,0.150455,21043732,36153459,1276061,244113,0.0836844,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.146648,0,10438,8,10392,7335,5,-1,0.114631,0.149768,22724899,37398633,1579420,235544,0.0841729,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.14548,0,10438,8,10392,7335,5,-1,0.113425,0.148059,20933254,35833062,1111156,243423,0.0842906,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.14748,0,10438,8,10392,7335,5,-1,0.11494,0.150407,21684840,36561849,1210446,241855,0.0854096,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.150498,0,10438,8,10392,7335,5,-1,0.11699,0.154684,21913658,36871979,1381689,240484,0.0862488,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147359,0,10438,8,10392,7335,5,-1,0.114867,0.150364,21810039,36702088,1084932,238288,0.0836138,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.149475,0,10438,8,10392,7335,5,-1,0.116476,0.152075,21425940,36066142,1219805,243594,0.0830686,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147935,0,10438,8,10392,7335,5,-1,0.115507,0.149423,22341340,37458730,1140583,238011,0.0940408,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.144346,0,10438,8,10392,7335,5,-1,0.112765,0.146565,22169405,37520552,1210489,236224,0.100077,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.15121,0,10438,8,10392,7335,5,-1,0.117738,0.154136,21393945,36448737,1247112,242244,0.101378,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145848,0,10438,8,10392,7335,5,-1,0.113939,0.148186,22166290,37413966,1252077,246367,0.0988836,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.152832,0,10438,8,10392,7335,5,-1,0.118642,0.158157,22059143,37151883,1290923,242790,0.0837752,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.145377,0,10438,8,10392,7335,5,-1,0.113111,0.148419,22189751,37398499,1322655,240242,0.0849939,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.146928,0,10438,8,10392,7335,5,-1,0.114069,0.152888,22004903,36122446,1337494,231905,0.086399,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.148053,0,10438,8,10392,7335,5,-1,0.115214,0.151393,21964250,37045968,1262774,241532,0.0859775,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.148952,0,10438,8,10392,7335,5,-1,0.115919,0.151835,21786860,36722858,1263843,238341,0.0876786,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147914,0,10438,8,10392,7335,5,-1,0.11526,0.151158,21844918,37353703,1238863,252349,0.0840893,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.151179,0,10438,8,10392,7335,5,-1,0.117834,0.154494,21879769,37484785,1144444,244746,0.0895423,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.149616,0,10438,8,10392,7335,5,-1,0.116792,0.152883,22114373,37127074,1241325,247954,0.0843093,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.148479,0,10438,8,10392,7335,5,-1,0.115623,0.152093,21862338,36986514,1105654,237463,0.0866758,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147532,0,10438,8,10392,7335,5,-1,0.114897,0.150482,21975855,36559176,1449509,238628,0.093284,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.147931,0,10438,8,10392,7335,5,-1,0.11525,0.151402,21637357,36401693,1156755,241423,0.0914481,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.14981,0,10438,8,10392,7335,5,-1,0.116392,0.153943,22273251,37127447,1365642,240542,0.08658,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.148779,0,10438,8,10392,7335,5,-1,0.116397,0.152065,21623311,37074584,1228797,245854,0.0847578,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
0.150384,0,10438,8,10392,7335,5,-1,0.117555,0.151463,21916219,37848928,1040610,256369,0.0898748,InitLNS(PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-17.scen
