runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,runtime of initial solutions generation,runtime of best initial solution prediction,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
60.0012,8467,10246,7333,7333,26978,7.92631,0.091523,5.7631,0.136344,0,86494.7,23598258,37017823,1650851,209034,0.0883768,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0014,8422,10246,7333,7333,27801,7.93946,0.0911042,5.46357,0.136382,0,81316,24000911,37099697,2002071,216039,0.096019,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0009,8545,10246,7333,7333,26730,8.01328,0.0918318,5.45147,0.137668,0,86508.7,24007727,37028978,1983446,209666,0.090874,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0007,8440,10246,7333,7333,26871,7.98426,0.0959861,6.02466,0.137254,0,81730,23321241,36583592,1914938,210332,0.109405,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.002,8458,10246,7333,7333,28597,7.97146,0.0941026,5.48997,0.137974,0,83298.4,23956164,38053013,1704309,222957,0.097528,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0013,8559,10246,7333,7333,29290,8.01,0.0931944,5.63294,0.136621,0,87832.6,23744325,37487511,2091354,230438,0.0897974,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0032,8611,10246,7333,7333,25566,7.98298,0.0966765,5.62131,0.132667,0,88924,23254564,36025458,1838341,199934,0.088084,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0007,8539,10246,7333,7333,26578,7.99718,0.0917645,5.59942,0.137935,0,84883.3,23555627,36257591,2004005,207959,0.0855181,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0005,8481,10246,7333,7333,29022,8.01733,0.0921676,5.61221,0.138326,0,82165.2,24379018,38842076,1590576,227857,0.100205,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.001,8507,10246,7333,7333,26870,7.99311,0.094056,5.56056,0.139254,0,88425.2,24887155,38642545,2235148,210409,0.0829007,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0004,8591,10246,7333,7333,25226,7.99179,0.0941858,5.90467,0.133732,0,87748.1,21774915,34139381,1644902,197181,0.0883394,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0002,8486,10246,7333,7333,26723,8.00816,0.093602,5.79224,0.137453,0,81435.2,22843108,35905032,1718275,209600,0.086083,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0022,8533,10246,7333,7333,24090,8.00677,0.103069,5.86931,0.136602,0,86173.6,21987170,33703399,1992255,188952,0.103351,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0008,8498,10246,7333,7333,26574,7.99398,0.0995811,5.8464,0.136803,0,88048.8,22199979,34959762,1768219,207799,0.0865578,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0013,8574,10246,7333,7333,25274,7.99517,0.100593,5.76869,0.136366,0,89096.6,21821975,34335663,1736587,198038,0.109079,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0021,8611,10246,7333,7333,26566,7.99394,0.101994,5.93389,0.136877,0,89675.5,22083754,34571655,1874192,208733,0.0915026,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
60.0017,8501,10246,7333,7333,25188,8.01965,0.102582,5.87981,0.137452,0,85551.3,21251045,33740302,1540260,197939,0.0886739,LNS(PP;PP),/home1/mhuber/MAPF/MAPF-ML-LNS2/mapf_instances/mapf-scen-random/scen-random/empty-32-32-random-9.scen
